Id,Subsistema,Sector,Manzana,Lote,Nivel1,Nivel2,Fraccion,Toma,Original,Correcta
29,1,20,1,15,0,0,0,1,"1-20-0001-0015-00-00-00-01","1-20-0001-0015-00-00-00-01"
30,1,20,1,14,0,0,0,1,"1-20-0001-0014-00-00-00-01","1-20-0001-0014-00-00-00-01"
31,1,20,1,13,0,0,0,1,"1-20-0001-0013-00-00-00-01","1-20-0001-0013-00-00-00-01"
32,1,20,1,12,0,0,0,1,"1-20-0001-0012-00-00-00-01","1-20-0001-0012-00-00-00-01"
33,1,20,1,10,0,0,0,1,"1-20-0001-0010-00-00-00-01","1-20-0001-0010-00-00-00-01"
34,1,20,1,9,0,0,0,1,"1-20-0001-0009-00-00-00-01","1-20-0001-0009-00-00-00-01"
35,1,1,8,13,0,0,0,2,"1-1-0008-0013-00-00-00-02","1-01-0008-0013-00-00-00-02"
36,1,1,8,13,0,0,0,1,"1-1-0008-0013-00-00-00-01","1-01-0008-0013-00-00-00-01"
37,1,1,8,12,0,0,0,1,"1-1-0008-0012-00-00-00-01","1-01-0008-0012-00-00-00-01"
38,1,1,8,11,0,0,0,1,"1-1-0008-0011-00-00-00-01","1-01-0008-0011-00-00-00-01"
39,1,1,6,7,0,0,0,1,"1-1-0006-0007-00-00-00-01","1-01-0006-0007-00-00-00-01"
40,1,1,6,6,0,0,0,1,"1-1-0006-0006-00-00-00-01","1-01-0006-0006-00-00-00-01"
41,1,1,6,5,0,0,0,1,"1-1-0006-0005-00-00-00-01","1-01-0006-0005-00-00-00-01"
42,1,1,6,4,0,0,0,1,"1-1-0006-0004-00-00-00-01","1-01-0006-0004-00-00-00-01"
43,1,1,6,3,0,0,0,1,"1-1-0006-0003-00-00-00-01","1-01-0006-0003-00-00-00-01"
44,1,1,6,2,0,0,0,1,"1-1-0006-0002-00-00-00-01","1-01-0006-0002-00-00-00-01"
45,1,1,6,1,0,0,0,1,"1-1-0006-0001-00-00-00-01","1-01-0006-0001-00-00-00-01"
